epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,8006.27,0.79784,0.33778,0.00237,0.90941,0.95282,0.9558,0.78576,0.76543,0.36197,0.00334,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8118.85,0.78288,0.3304,0.00237,0.93201,0.92456,0.95397,0.78294,0.76165,0.36262,0.0033,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8233.39,0.78438,0.32821,0.00229,0.9318,0.93255,0.95704,0.79005,0.76048,0.35235,0.00328,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8346.49,0.78499,0.33851,0.00234,0.92077,0.94218,0.95494,0.78295,0.7466,0.35555,0.00323,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8459.8,0.77216,0.32709,0.00231,0.92531,0.93823,0.95212,0.78013,0.75018,0.35517,0.00323,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8571.51,0.76756,0.32001,0.00233,0.92122,0.9528,0.9564,0.78547,0.7499,0.35731,0.00323,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8684.64,0.76764,0.31961,0.00223,0.91867,0.94139,0.95162,0.78352,0.74816,0.35941,0.00323,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8798.52,0.75661,0.31571,0.00226,0.93486,0.94069,0.95529,0.78852,0.75043,0.34654,0.00325,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8913.81,0.74671,0.31585,0.00222,0.94419,0.9307,0.95783,0.79117,0.73956,0.34634,0.00316,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9024.42,0.75682,0.31417,0.00222,0.94976,0.92074,0.95477,0.78753,0.74961,0.3562,0.00325,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
